"filename", "language", "C++", "YAML", "CMake", "Markdown", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\updated\sds\Mystica\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 7, 17
"d:\Flutter_projects\updated\sds\Mystica\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 23, 4, 30
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\db\app_db.dart", "Dart", 0, 0, 0, 0, 173, 51, 47, 271
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\db\app_db.g.dart", "Dart", 0, 0, 0, 0, 2386, 2, 99, 2487
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\album_entity.dart", "Dart", 0, 0, 0, 0, 9, 0, 2, 11
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\image_entity.dart", "Dart", 0, 0, 0, 0, 10, 0, 2, 12
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\journal_entity.dart", "Dart", 0, 0, 0, 0, 9, 0, 2, 11
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\note_entity.dart", "Dart", 0, 0, 0, 0, 10, 0, 2, 12
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\notebook_entity.dart", "Dart", 0, 0, 0, 0, 9, 0, 2, 11
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\remainder_entity.dart", "Dart", 0, 0, 0, 0, 8, 0, 2, 10
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\todo_entity.dart", "Dart", 0, 0, 0, 0, 7, 0, 2, 9
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\user_entity.dart", "Dart", 0, 0, 0, 0, 7, 0, 2, 9
"d:\Flutter_projects\updated\sds\Mystica\lib\main.dart", "Dart", 0, 0, 0, 0, 81, 9, 4, 94
"d:\Flutter_projects\updated\sds\Mystica\lib\models\Gallery\Album.dart", "Dart", 0, 0, 0, 0, 15, 0, 3, 18
