"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\db\app_db.dart", "Dart", 0, 10, 2, 3, 15
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\db\app_db.g.dart", "Dart", 0, 43, 0, 0, 43
"d:\Flutter_projects\updated\sds\Mystica\lib\data\local\entity\user_entity.dart", "Dart", 0, 1, 0, 0, 1
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\home_screen.dart", "Dart", 0, 201, 5, 12, 218
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\login_screen.dart", "Dart", 0, 8, 6, 0, 14
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\profile_screen.dart", "Dart", 0, 19, -2, 3, 20
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\main-screen\signup_screen.dart", "Dart", 0, 11, -3, 1, 9
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\album_screen.dart", "Dart", 0, 48, -2, 0, 46
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\edit_album_screen.dart", "Dart", 0, 2, 0, 1, 3
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\album\image\image_screen.dart", "Dart", 0, 29, -1, 5, 33
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\create_journal_screen.dart", "Dart", 0, 17, 3, 2, 22
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\detail_journal_screen.dart", "Dart", 0, 1, 3, 0, 4
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\edit_journal_screen.dart", "Dart", 0, 1, 0, -1, 0
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\journal\journal_screen.dart", "Dart", 0, 51, 1, 2, 54
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\create_notebook_screen.dart", "Dart", 0, 46, 4, 1, 51
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\edit_notebook.dart", "Dart", 0, 4, -4, 0, 0
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\create_note.dart", "Dart", 0, 17, 0, 0, 17
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\detail_note_screen.dart", "Dart", 0, 29, 4, 0, 33
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\edit_note_screen.dart", "Dart", 0, 26, 1, 1, 28
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\note\note_screen.dart", "Dart", 0, -1, 0, 1, 0
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\notebook_screen.dart", "Dart", 0, 39, -2, 3, 40
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\reminder\reminder_screen.dart", "Dart", 0, 39, -2, 3, 40
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\todo\todo_screen.dart", "Dart", 0, 33, -2, 3, 34
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\note_item.dart", "Dart", 0, 6, 2, -1, 7
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\reminder_item.dart", "Dart", 0, 5, 0, 0, 5
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\todo_item.dart", "Dart", 0, 5, 0, 0, 5
"d:\Flutter_projects\updated\sds\Mystica\pubspec.yaml", "YAML", 10, 0, 0, 1, 11
"Total", "-", 10, 690, 13, 40, 753
